"GEOID","trd_count","pop.density","smoking_counts","acs_population","places_population","race.white.NHL","race.not.white.HL","income.none","income.less.25k","income.between.25kand49.9k","income.between.50kand74.9k","income.greater.75k","CSMOKING_CrudePrev"
"41047002303",4,2.3370388185964,1157,8206,7142,0.15332615598392,0.261727577130374,0.175447193244143,0.191075799640639,0.25973889144475,0.0988731483671565,0.274666307645696,16.2
"41047001401",4,0.812960534376854,822,6124,5666,0.168392467623161,0.287445754282375,0.660310754816627,0.106405154946795,0.289104838725199,0.268734941048419,0.0446765468307799,14.5
"41047002502",6,0.0459851787176856,891,5464,5033,0.00274891467260418,0.00469239427794862,0.0469814381649306,0.0596759288246854,0.17890502154195,0.0291138380706925,0.127130236302966,17.7
"41047002304",3,1.20130204477443,605,6661,5081,0.25275530251954,0.431453019289362,0.273745889060678,0.298181622263799,0.110733183281561,0.195384268174888,1.11006859980197,11.9
"41047010202",7,0.133902965440681,1153,8021,7205,0.00890875691692701,0.0152072381137325,0.216015151193893,0.243963627165678,0.00402742188369272,0.201357881388947,0.237711458171792,16
"41047010307",2,0.88982576126179,693,6624,5724,0.167342272462891,0.285653072315964,0.177844857811111,0.268100224627969,0.125172253423171,0.01065033593467,0.258826568279302,12.1
"41047010201",3,0.0485531827435322,355,2622,2632,0.213862583221634,0.36506319085774,0.0815491827827666,0.179575925492497,0.0912480558464877,0.458431298171753,0.238626116913771,13.5
"41047000502",6,4.07917765495272,1230,6843,5326,0.234549919162579,0.400376450218873,0.246104184892209,0.0407421451235188,0.0449585831625243,0.498988755390786,0.846033255760154,23.1
"41047000501",1,1.53089529184063,847,3557,3733,0.300044183516928,0.51217508637067,0.765538640260109,0.09804040954998,0.186386106370428,0.207246362096809,0.786245184728447,22.7
"41047002102",7,2.13356403340775,904,6565,6067,0.39765035269902,0.678788708221893,0.0882490538182654,0.0157251133721432,0.0219824156745043,0.830884436035689,0.04895355587392,14.9
"41047002202",2,1.60299636630976,704,6454,6230,0.298586459523652,0.509686753141178,0.185076303052082,0.161277179052925,0.25932373137881,0.258869953331792,1.09359730872021,11.3
"41047002101",4,2.17666925817127,309,2237,2256,0.22073670354534,0.376797306577793,0.741198287563626,0.29316617205541,0.582750957261758,0.333087509392983,0.417337599141007,13.7
"41047002201",0,1.90431304146102,202,2594,1977,0.13159569496861,0.224633704431579,0.46284516313877,0.401003792193514,0.324779563880677,0.450712158104247,0.951271390633034,10.2
"41047001402",4,2.54343570227604,872,6001,5662,0.195247380408848,0.333287060433573,0.164438556573889,0.0826667015774005,0.00482470753842026,0.272766284507919,0.143870925663359,15.4
"41047001701",15,2.50763027546945,1186,6305,6409,0.264057183653877,0.450745317771141,0.262309197270503,0.259339144864753,0.240300616586189,0.396713662927037,0.414272576202309,18.5
"41047000900",4,2.80943660665974,1070,5727,5782,0.183760312666838,0.313678648619192,0.146251858285884,0.0559795313572478,0.32391669709951,0.0857019161935644,0.228085928025612,18.5
"41047001802",4,1.07168122958097,1460,9171,7686,0.266485319341925,0.454890142680488,0.225354520529153,0.115550561389771,0.218758269383934,0.0872117498508676,0.117649143961429,19
"41047000300",6,2.31312399628566,998,4576,5014,0.0150982766507512,0.0257727413909708,0.251622832014718,0.265074603368355,0.0273127512934476,0.00412897489860077,0.553754791929533,19.9
"41047001601",6,1.86406883734703,1334,7655,7668,0.165759491645661,0.282951267227565,0.227046736431797,0.163506401675599,0.130663973080795,0.0361887455873246,0.0883081988715901,17.4
"41047001100",7,2.195054711652,563,5064,4543,0.368492997584593,0.629017135585392,0.308239695400234,0.0443813497733818,0.0634485548714502,0.522289347017495,0.0188298127184453,12.4
"41047001702",0,2.90230570120395,963,5807,5564,0.242180107813648,0.413401173729853,0.162566301732495,0.0119227823649919,0.108417116363022,0.149343062738383,0.566051800345267,17.3
"41047001801",13,1.94105809933063,1242,6538,6501,0.26433120713346,0.451213075544939,0.0229490970679131,0.301719427772928,0.11638848612793,0.283238990874598,0.607925300027672,19.1
"41047010304",4,1.96310453597589,1133,6699,6435,0.569633220119301,0.972363270950544,0.172401703373651,0.14820038763745,0.0717436776573184,0.342861269173969,0.367651691320332,17.6
"41047010701",11,0.569862210186639,1450,8223,7922,0.208218898814785,0.355429427874417,0.408121582009116,0.191931916499538,0.492537563934989,0.0657633100431169,0.276144297179234,18.3
"41047010801",5,0.0516605229298271,1121,5787,5992,0.360843152686573,0.615958858882807,0.0919770302922913,0.1713105687476,0.386464216802342,0.593263891673398,0.691114606647274,18.7
"41047002600",0,0.0202001643194249,272,1904,2030,0.39342576474344,0.671577341296968,0.494943168614011,0.109902691684367,0.130118930126624,0.454363665240747,0.528866561245537,13.4
"41047010303",4,0.0474973328557812,783,4666,4834,0.412708326914318,0.704492653400527,0.0578622673845596,0.201834783150104,0.129598713065811,0.113018900920392,0.397084065943552,16.2
